Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
793,Providence University,1.31,Masters,Chicago,N/A,N/A,0,1.0,1,Research Scientist,08/20,03/23,Machine Learning Engineer,12/17,02/19,Research Scientist,06/16,04/17
794,Brown University,1.44,Masters,Philadelphia,N/A,1.0,0,1.0,0,Software Tester,11/19,08/22,Software Engineer,02/17,11/21,Research Scientist,11/15,07/18
795,Providence State University,2.58,Bachelors,Boston,N/A,N/A,0,0.0,0,Software Tester,09/19,07/23,Data Analyst,04/18,02/21,Data Analyst,08/16,09/19
796,Boston University,2.2,Masters,Providence,N/A,N/A,0,N/A,2,Quantitative Analyst,08/19,12/21,Research Scientist,10/18,06/19,Hardware Engineer,09/14,03/18
797,UCSB,2.18,Masters,Providence,N/A,N/A,1,0.0,1,Software Tester,08/19,04/21,Quantitative Analyst,08/17,10/19,Data Analyst,08/16,10/17
798,UC Berkeley,2.76,Bachelors,Las Vegas,N/A,1.0,0,0.0,2,Quantitative Analyst,05/19,06/23,Research Scientist,08/17,08/20,Machine Learning Engineer,01/15,08/19
799,Brown University,3.42,Bachelors,New York,F,1.0,0,N/A,4,Software Engineer,11/19,02/22,Research Scientist,09/17,11/21,Hardware Engineer,07/15,09/18
800,Northeastern University,1.47,PhD,Philadelphia,M,N/A,0,0.0,3,Data Scientist,12/18,08/21,Software Engineer,05/18,12/19,Data Scientist,05/14,02/19
801,UCSB,3.83,PhD,Washington,M,0.0,0,N/A,4,Data Analyst,08/20,08/23,Quantitative Analyst,01/17,01/19,Software Engineer,09/15,12/17
802,UC Berkeley,3.61,Bachelors,Providence,N/A,0.0,0,N/A,4,Quantitative Analyst,06/19,07/23,Software Tester,03/17,10/19,Software Tester,07/14,03/18
803,Boston University,1.61,Masters,New York,F,0.0,0,N/A,4,Data Scientist,08/20,09/21,Data Scientist,04/18,04/20,Hardware Engineer,09/14,09/18
804,UCLA,2.28,PhD,Boston,F,0.0,0,0.0,2,Hardware Engineer,06/19,01/23,Quantitative Analyst,05/18,09/21,Software Tester,09/15,08/18
805,Boston University,3.03,Bachelors,New York,M,N/A,0,N/A,4,Research Scientist,01/19,11/21,Quantitative Analyst,07/17,01/19,Software Tester,11/14,10/17
806,MIT,1.67,Masters,Philadelphia,N/A,N/A,1,0.0,1,Software Tester,05/19,07/23,Software Tester,02/18,01/21,Quantitative Analyst,10/15,01/19
807,Boston College,2.41,Bachelors,Providence,M,N/A,0,N/A,3,Hardware Engineer,07/19,03/21,Software Engineer,09/17,02/20,Data Scientist,02/16,09/18
808,Providence College,1.42,Masters,Washington,M,N/A,0,N/A,0,Software Tester,12/18,07/22,Data Analyst,11/17,05/21,Machine Learning Engineer,12/14,11/18
809,UCLA,2.39,Bachelors,Los Angeles,N/A,1.0,0,N/A,3,Hardware Engineer,11/19,06/23,Software Tester,11/18,11/21,Quantitative Analyst,07/16,04/18
810,Harvard University,3.19,PhD,Chicago,N/A,N/A,0,0.0,0,Software Tester,01/19,12/21,Software Engineer,05/17,05/21,Hardware Engineer,07/16,09/17
811,UC Berkeley,2.9,PhD,Chicago,N/A,0.0,0,1.0,3,Data Analyst,06/19,01/23,Software Engineer,03/17,06/20,Quantitative Analyst,03/15,11/17
812,Providence University,1.06,Bachelors,Los Angeles,M,1.0,0,N/A,0,Quantitative Analyst,02/19,09/21,Data Scientist,06/18,07/20,Hardware Engineer,07/14,09/19
813,Providence University,2.41,PhD,New York,N/A,N/A,1,1.0,2,Quantitative Analyst,04/19,12/21,Machine Learning Engineer,09/17,07/20,Data Analyst,05/16,03/19
814,Providence School,1.59,Bachelors,Boston,F,N/A,0,1.0,3,Research Scientist,12/18,02/23,Software Tester,06/18,09/19,Software Tester,03/16,04/18
815,UC Berkeley,2.87,Masters,Los Angeles,M,1.0,0,1.0,0,Hardware Engineer,06/20,08/23,Machine Learning Engineer,11/18,05/21,Quantitative Analyst,08/15,07/17
816,University of Rhode Island,3.1,Bachelors,Providence,M,1.0,0,0.0,2,Software Tester,02/20,01/23,Research Scientist,12/16,01/20,Machine Learning Engineer,11/14,06/19
817,UC Berkeley,2.49,Bachelors,New York,M,1.0,0,0.0,2,Data Analyst,12/19,05/23,Software Tester,10/17,01/20,Software Engineer,10/16,05/17
818,State Providence College,2.92,PhD,Boston,F,1.0,0,0.0,3,Quantitative Analyst,10/20,10/21,Software Tester,01/17,08/20,Research Scientist,06/15,03/18
819,Providence State University,3.54,Bachelors,Chicago,F,1.0,0,0.0,4,Data Analyst,08/20,10/21,Research Scientist,04/17,10/19,Data Analyst,04/15,03/18
820,Providence University,3.48,Bachelors,Providence,N/A,0.0,0,N/A,1,Software Tester,11/19,12/22,Machine Learning Engineer,06/17,04/20,Software Tester,02/15,09/18
821,Providence University,2.36,Bachelors,Philadelphia,N/A,1.0,0,N/A,3,Data Scientist,07/19,09/22,Research Scientist,01/18,09/21,Hardware Engineer,01/14,09/19
822,Providence School,2.59,Bachelors,Las Vegas,M,N/A,0,1.0,0,Data Scientist,06/19,09/22,Hardware Engineer,12/17,09/20,Software Engineer,10/16,09/17
823,Providence University,1.54,PhD,Miami,N/A,N/A,0,1.0,1,Software Tester,11/19,07/22,Software Tester,07/17,06/20,Software Tester,09/14,08/19
824,UCLA,1.3,Bachelors,Los Angeles,M,1.0,0,N/A,3,Quantitative Analyst,06/20,09/22,Machine Learning Engineer,06/18,11/19,Hardware Engineer,11/16,04/17
825,Providence College,3.43,Bachelors,Los Angeles,F,0.0,1,0.0,3,Hardware Engineer,12/19,04/23,Data Analyst,08/17,03/19,Hardware Engineer,11/14,12/18
826,UCSB,1.39,PhD,San Francisco,N/A,0.0,0,1.0,2,Software Engineer,06/20,05/22,Data Analyst,12/17,07/20,Research Scientist,02/16,02/17
827,Boston College,1.16,Bachelors,Washington,M,N/A,0,0.0,0,Software Tester,01/19,02/22,Quantitative Analyst,11/18,03/19,Research Scientist,07/14,04/19
828,Boston University,1.63,Masters,Los Angeles,F,N/A,0,N/A,3,Data Scientist,02/20,08/21,Software Tester,08/17,02/21,Software Engineer,08/16,04/19
829,UCSB,2.11,Masters,Philadelphia,F,1.0,0,0.0,1,Software Tester,08/20,09/22,Hardware Engineer,11/18,08/19,Software Tester,04/15,05/19
830,Providence State University,2.81,Bachelors,Philadelphia,F,0.0,0,0.0,4,Research Scientist,07/19,05/23,Data Analyst,08/18,10/19,Software Engineer,07/16,03/17
831,University of Rhode Island,2.13,Masters,Chicago,M,1.0,0,1.0,2,Software Engineer,12/18,06/22,Data Analyst,12/16,01/19,Machine Learning Engineer,12/14,06/17
832,Providence State University,1.0,Bachelors,Providence,M,0.0,1,1.0,2,Hardware Engineer,11/19,07/22,Quantitative Analyst,02/17,01/19,Hardware Engineer,11/16,11/18
833,State Providence College,3.07,Masters,Las Vegas,M,1.0,0,1.0,3,Hardware Engineer,11/19,02/23,Hardware Engineer,01/17,01/19,Machine Learning Engineer,07/16,11/18
834,Harvard University,2.32,Bachelors,Boston,M,0.0,0,0.0,0,Quantitative Analyst,05/20,04/22,Data Analyst,05/18,12/19,Data Analyst,08/14,12/18
835,Brown University,3.3,PhD,Miami,M,0.0,0,N/A,3,Hardware Engineer,06/20,09/21,Research Scientist,11/17,10/19,Hardware Engineer,04/14,07/17
836,UCSB,2.54,Bachelors,Los Angeles,F,N/A,0,1.0,1,Quantitative Analyst,10/19,03/23,Data Analyst,11/18,10/21,Data Scientist,02/15,09/17
837,Providence State University,2.52,Bachelors,San Francisco,M,1.0,0,0.0,1,Machine Learning Engineer,12/19,04/21,Data Analyst,02/17,05/21,Data Scientist,04/15,10/18
838,Boston University,3.55,Bachelors,New York,F,0.0,0,N/A,0,Data Analyst,07/20,08/21,Quantitative Analyst,02/17,08/21,Software Tester,03/16,02/17
839,Providence State University,3.17,Bachelors,San Francisco,F,N/A,0,N/A,1,Hardware Engineer,12/18,02/23,Software Engineer,10/18,02/21,Software Engineer,02/15,09/17
840,Providence University,1.83,Masters,Los Angeles,M,N/A,0,N/A,1,Machine Learning Engineer,06/20,09/22,Research Scientist,11/17,11/19,Hardware Engineer,04/14,11/18
841,Boston University,2.18,Masters,Washington,M,1.0,0,N/A,1,Hardware Engineer,12/18,11/23,Hardware Engineer,11/17,11/19,Software Engineer,05/14,06/17
842,Providence College,2.4,Bachelors,San Francisco,N/A,0.0,1,0.0,2,Software Engineer,09/19,08/21,Research Scientist,12/17,09/20,Research Scientist,01/14,11/18
843,Columbia University,2.76,PhD,Chicago,F,N/A,0,N/A,2,Research Scientist,11/20,09/23,Software Tester,10/17,12/20,Software Engineer,12/15,10/17
844,Boston University,1.35,PhD,New York,F,1.0,0,0.0,4,Research Scientist,02/20,10/21,Machine Learning Engineer,04/17,06/19,Software Tester,02/15,02/19
845,UCSB,1.23,Bachelors,Philadelphia,F,1.0,0,N/A,1,Research Scientist,02/19,05/22,Software Tester,11/17,04/19,Research Scientist,10/16,01/18
846,State Providence College,2.31,Bachelors,Boston,F,N/A,0,N/A,4,Software Tester,12/18,06/21,Software Engineer,10/17,07/19,Data Scientist,11/15,07/18
847,Bryant University,1.52,Masters,Providence,N/A,N/A,0,1.0,0,Software Engineer,12/19,11/22,Data Analyst,06/17,02/20,Research Scientist,01/16,06/17
848,MIT,1.13,Masters,Providence,N/A,0.0,0,1.0,3,Data Scientist,04/20,10/23,Data Scientist,11/18,10/19,Software Tester,10/15,03/19
849,Boston University,1.58,Masters,San Francisco,F,N/A,0,0.0,2,Machine Learning Engineer,02/20,11/23,Machine Learning Engineer,10/18,01/20,Hardware Engineer,12/14,04/18
850,Boston College,2.84,PhD,Washington,F,N/A,0,0.0,4,Software Tester,11/20,10/22,Software Engineer,09/18,04/20,Machine Learning Engineer,10/16,07/19
851,State Providence College,2.38,Masters,Las Vegas,M,0.0,0,0.0,2,Software Tester,06/20,01/21,Data Scientist,07/17,06/21,Data Scientist,11/14,11/18
852,Columbia University,2.6,Bachelors,Boston,N/A,0.0,1,0.0,0,Data Scientist,05/20,12/22,Hardware Engineer,07/17,09/21,Software Tester,07/14,05/18
853,Bryant University,2.02,Masters,San Francisco,F,0.0,0,N/A,2,Software Tester,03/19,03/21,Data Scientist,11/18,06/20,Research Scientist,04/14,07/17
854,Boston University,1.14,PhD,Los Angeles,F,N/A,0,N/A,0,Quantitative Analyst,03/19,03/23,Machine Learning Engineer,03/18,09/19,Research Scientist,10/16,08/17
855,State Providence College,2.31,Masters,Miami,N/A,N/A,0,1.0,0,Research Scientist,05/20,06/21,Data Analyst,09/18,10/20,Hardware Engineer,10/14,06/17
856,MIT,3.71,Bachelors,Miami,M,0.0,0,0.0,0,Hardware Engineer,04/19,01/22,Software Engineer,06/17,06/19,Data Scientist,05/15,02/18
857,Brown University,1.4,Bachelors,Providence,N/A,1.0,0,1.0,2,Data Scientist,02/19,01/23,Research Scientist,03/18,08/20,Research Scientist,10/16,08/19
858,Brown University,2.9,Bachelors,San Francisco,M,1.0,0,N/A,1,Machine Learning Engineer,01/19,03/21,Software Tester,09/18,03/19,Hardware Engineer,08/16,07/18
859,Harvard University,1.68,Masters,Las Vegas,F,1.0,0,1.0,2,Hardware Engineer,12/18,09/23,Software Tester,09/17,05/19,Data Scientist,03/14,05/17
860,Boston College,2.94,PhD,Washington,M,N/A,0,0.0,1,Data Analyst,04/20,01/22,Software Tester,04/17,05/19,Hardware Engineer,04/16,06/18
861,Providence School,2.92,PhD,Boston,F,0.0,0,N/A,3,Quantitative Analyst,11/19,01/21,Data Analyst,05/18,03/19,Quantitative Analyst,07/16,04/17
862,Providence School,1.24,Bachelors,Philadelphia,N/A,N/A,0,1.0,1,Hardware Engineer,05/20,02/23,Research Scientist,05/17,01/21,Data Analyst,07/15,11/19
863,Boston University,2.27,Masters,New York,M,N/A,0,0.0,4,Data Analyst,01/20,06/23,Research Scientist,06/18,08/19,Data Scientist,05/15,08/18
864,University of Rhode Island,1.12,Masters,Philadelphia,M,0.0,0,N/A,2,Quantitative Analyst,10/19,06/23,Software Engineer,10/18,09/19,Software Engineer,07/16,07/19
865,Providence College,3.36,PhD,Chicago,M,0.0,0,1.0,0,Quantitative Analyst,06/20,05/22,Research Scientist,10/18,09/20,Research Scientist,05/15,09/17
866,UCSB,1.86,Bachelors,Miami,M,0.0,0,0.0,4,Data Analyst,03/19,03/23,Software Engineer,05/17,03/20,Quantitative Analyst,09/16,01/18
867,UC Berkeley,2.86,PhD,Boston,M,N/A,0,1.0,0,Software Tester,07/20,12/22,Machine Learning Engineer,01/17,02/21,Data Analyst,10/15,09/18
868,Providence State University,3.69,PhD,Washington,N/A,0.0,0,0.0,4,Data Scientist,10/19,01/21,Software Engineer,11/17,01/21,Quantitative Analyst,06/14,06/19
869,Brown University,2.98,Bachelors,Providence,N/A,0.0,0,N/A,1,Machine Learning Engineer,02/20,05/23,Data Scientist,04/17,10/21,Research Scientist,09/16,03/18
870,State Providence College,2.26,Bachelors,New York,N/A,N/A,1,N/A,2,Research Scientist,12/19,11/21,Data Analyst,06/18,08/21,Software Tester,07/14,05/18
871,State Providence College,3.8,Masters,Boston,F,N/A,0,0.0,3,Machine Learning Engineer,09/19,10/23,Data Analyst,12/16,04/20,Data Scientist,07/16,12/18
872,Harvard University,2.19,Masters,Philadelphia,M,N/A,0,N/A,4,Data Analyst,12/18,07/23,Hardware Engineer,12/16,05/20,Software Engineer,12/13,04/18
873,Columbia University,3.96,Bachelors,New York,M,1.0,0,N/A,0,Machine Learning Engineer,11/20,06/21,Data Scientist,04/17,03/19,Quantitative Analyst,05/16,01/17
874,Providence School,1.2,Bachelors,Washington,F,1.0,0,1.0,3,Research Scientist,08/19,08/22,Data Analyst,07/17,08/19,Machine Learning Engineer,02/16,06/18
875,UCSB,3.01,Bachelors,Boston,F,1.0,1,N/A,0,Machine Learning Engineer,11/20,02/22,Hardware Engineer,01/18,09/19,Quantitative Analyst,09/14,07/19
876,Providence State University,2.16,Masters,Chicago,F,N/A,0,1.0,2,Data Scientist,06/19,07/23,Software Tester,11/18,04/20,Research Scientist,05/14,12/17
877,Boston University,3.12,Masters,Los Angeles,M,0.0,0,N/A,4,Data Scientist,08/20,04/22,Hardware Engineer,06/18,08/19,Quantitative Analyst,10/15,04/18
878,Boston College,1.95,Masters,Chicago,F,1.0,0,0.0,4,Software Tester,04/20,02/21,Data Scientist,07/18,11/21,Quantitative Analyst,04/14,09/18
879,University of Rhode Island,1.49,PhD,San Francisco,F,N/A,0,0.0,1,Machine Learning Engineer,12/19,04/21,Data Scientist,08/18,04/19,Quantitative Analyst,11/14,11/17
880,Providence School,3.51,Masters,Chicago,M,0.0,0,N/A,3,Software Engineer,03/20,04/22,Quantitative Analyst,03/17,07/20,Software Tester,01/14,10/19
881,MIT,2.2,Bachelors,New York,N/A,1.0,0,N/A,3,Data Scientist,07/19,09/23,Data Analyst,03/17,10/19,Machine Learning Engineer,04/14,03/17
882,State Providence College,2.17,Bachelors,New York,N/A,1.0,0,0.0,2,Machine Learning Engineer,10/20,09/23,Software Engineer,03/18,06/21,Data Analyst,02/16,08/18
883,State Providence College,1.12,Masters,Philadelphia,N/A,N/A,0,N/A,4,Hardware Engineer,05/19,12/22,Machine Learning Engineer,02/18,10/21,Software Tester,08/16,07/19
884,Providence University,2.69,PhD,San Francisco,N/A,1.0,1,N/A,0,Quantitative Analyst,01/19,05/22,Data Scientist,11/18,02/21,Software Engineer,05/16,02/19
885,Harvard University,2.9,Bachelors,Washington,N/A,0.0,0,1.0,0,Research Scientist,03/19,09/21,Software Engineer,12/17,05/19,Machine Learning Engineer,11/15,05/18
886,Providence College,1.54,Masters,Las Vegas,N/A,N/A,0,1.0,4,Quantitative Analyst,05/19,12/21,Software Engineer,10/18,04/19,Research Scientist,12/13,09/18
887,Columbia University,3.03,Bachelors,Los Angeles,M,N/A,0,1.0,1,Software Engineer,04/20,01/22,Hardware Engineer,05/17,10/21,Software Engineer,09/16,01/19
888,UC Berkeley,1.97,Bachelors,Chicago,F,1.0,0,0.0,4,Data Scientist,08/20,03/22,Hardware Engineer,08/17,09/21,Machine Learning Engineer,10/14,11/18
889,Providence College,3.06,Bachelors,Chicago,N/A,N/A,0,N/A,2,Data Scientist,08/20,05/21,Quantitative Analyst,01/18,08/21,Hardware Engineer,06/14,05/19
890,UCSB,2.95,Bachelors,Chicago,M,N/A,0,0.0,1,Software Engineer,09/19,02/23,Software Engineer,06/17,03/20,Hardware Engineer,08/14,06/19
891,Providence School,2.77,Bachelors,Philadelphia,M,N/A,1,1.0,2,Data Analyst,07/19,07/21,Machine Learning Engineer,12/16,03/21,Data Scientist,11/14,11/18
892,University of Rhode Island,2.9,Masters,Providence,F,0.0,0,0.0,0,Research Scientist,09/19,07/23,Software Engineer,02/17,09/20,Software Tester,12/15,05/18
893,MIT,2.94,PhD,San Francisco,F,0.0,0,N/A,3,Research Scientist,11/19,10/22,Data Analyst,12/17,11/19,Research Scientist,07/15,01/17
894,UCLA,2.42,Bachelors,Chicago,F,N/A,0,1.0,2,Data Scientist,11/19,02/22,Software Tester,03/18,04/21,Software Tester,07/16,09/19
895,Brown University,3.17,Bachelors,Miami,M,N/A,0,1.0,3,Quantitative Analyst,05/20,10/22,Data Scientist,09/17,08/19,Quantitative Analyst,07/14,12/17
896,Providence College,1.99,Masters,San Francisco,M,1.0,0,1.0,2,Machine Learning Engineer,01/20,08/21,Quantitative Analyst,06/17,04/20,Data Analyst,12/14,08/19
897,Providence School,3.98,Masters,Philadelphia,N/A,N/A,0,0.0,1,Data Scientist,08/20,03/23,Software Engineer,05/18,08/20,Data Scientist,08/15,11/18
898,State Providence College,3.54,PhD,New York,F,1.0,0,0.0,2,Machine Learning Engineer,06/19,04/23,Machine Learning Engineer,05/18,05/20,Quantitative Analyst,01/16,09/18
899,Providence State University,2.85,Masters,Philadelphia,N/A,N/A,0,N/A,4,Research Scientist,03/20,02/23,Quantitative Analyst,12/17,09/19,Software Tester,01/16,05/17
900,Boston College,1.9,Bachelors,Washington,M,N/A,0,1.0,2,Software Tester,07/20,05/21,Research Scientist,05/17,09/21,Quantitative Analyst,03/16,11/19
901,University of Rhode Island,3.85,PhD,New York,M,0.0,0,N/A,4,Data Scientist,06/20,05/21,Quantitative Analyst,08/17,03/19,Research Scientist,05/15,01/18
902,Columbia University,3.23,Bachelors,Boston,N/A,1.0,0,N/A,4,Quantitative Analyst,08/19,04/23,Hardware Engineer,10/18,04/19,Data Analyst,05/16,06/17
903,Boston University,3.57,Bachelors,Chicago,M,0.0,0,0.0,2,Software Tester,02/20,11/21,Research Scientist,11/17,03/19,Software Tester,03/15,05/18
904,MIT,1.14,Masters,Las Vegas,M,0.0,0,1.0,4,Hardware Engineer,09/19,11/22,Data Analyst,10/18,10/21,Machine Learning Engineer,12/15,02/18
905,UC Berkeley,3.46,Bachelors,Washington,N/A,N/A,0,0.0,2,Data Analyst,02/20,05/21,Software Tester,07/17,06/21,Hardware Engineer,10/15,09/19
906,Providence College,1.76,PhD,New York,F,1.0,0,0.0,3,Data Scientist,04/19,12/22,Software Engineer,02/17,02/21,Research Scientist,02/16,03/19
907,State Providence College,1.33,Bachelors,Boston,F,N/A,0,N/A,3,Machine Learning Engineer,12/18,10/21,Hardware Engineer,12/16,08/21,Data Scientist,07/16,03/18
908,MIT,2.19,PhD,San Francisco,N/A,N/A,0,0.0,2,Machine Learning Engineer,02/19,03/22,Data Analyst,11/17,01/20,Hardware Engineer,05/16,05/17
909,Columbia University,1.29,Bachelors,New York,N/A,N/A,0,0.0,2,Software Engineer,01/19,07/22,Hardware Engineer,10/18,11/21,Research Scientist,01/14,11/18
910,Brown University,3.15,Bachelors,Boston,M,N/A,0,0.0,1,Quantitative Analyst,04/20,12/21,Hardware Engineer,03/18,08/20,Data Analyst,01/14,10/17
911,UCSB,1.94,Masters,Philadelphia,N/A,N/A,0,0.0,1,Data Analyst,07/19,09/21,Research Scientist,07/17,06/20,Machine Learning Engineer,05/14,12/18
912,Providence College,2.61,Masters,Providence,M,1.0,0,N/A,4,Research Scientist,10/19,08/21,Hardware Engineer,01/17,03/19,Data Scientist,03/15,04/18
913,Boston College,3.2,PhD,Providence,F,N/A,0,1.0,3,Data Analyst,04/19,01/22,Hardware Engineer,02/18,11/20,Research Scientist,10/16,11/17
914,Northeastern University,1.49,PhD,Philadelphia,N/A,1.0,0,N/A,4,Machine Learning Engineer,12/19,11/22,Hardware Engineer,04/18,07/20,Research Scientist,03/14,07/18
915,Boston College,3.41,Masters,Chicago,M,1.0,0,1.0,3,Software Tester,01/20,08/22,Quantitative Analyst,05/17,11/19,Quantitative Analyst,01/15,06/19
916,University of Rhode Island,1.94,PhD,Boston,N/A,1.0,1,0.0,4,Software Engineer,08/19,12/22,Research Scientist,01/17,03/21,Machine Learning Engineer,07/15,06/19
917,Bryant University,3.97,Bachelors,Miami,M,1.0,0,0.0,4,Software Engineer,08/20,05/23,Hardware Engineer,07/17,06/20,Quantitative Analyst,05/14,12/17
918,UCSB,3.91,Masters,Los Angeles,N/A,1.0,0,N/A,4,Research Scientist,06/20,03/21,Software Engineer,03/17,10/19,Software Tester,09/15,04/18
919,UC Berkeley,1.39,Bachelors,Las Vegas,M,N/A,0,0.0,0,Hardware Engineer,07/20,03/23,Software Tester,02/17,08/20,Software Tester,02/14,02/18
920,State Providence College,1.4,Masters,Chicago,N/A,1.0,0,N/A,1,Hardware Engineer,12/18,01/23,Quantitative Analyst,05/17,02/19,Software Tester,03/16,06/18
921,Harvard University,1.02,PhD,Philadelphia,M,0.0,0,N/A,3,Software Engineer,05/20,07/23,Data Analyst,12/17,12/19,Quantitative Analyst,02/14,12/18
922,Columbia University,2.25,Bachelors,Las Vegas,F,1.0,0,N/A,2,Data Analyst,09/20,09/22,Machine Learning Engineer,07/18,11/19,Data Analyst,07/14,09/17
923,Brown University,2.04,Masters,Chicago,N/A,1.0,0,0.0,1,Hardware Engineer,07/20,04/21,Software Tester,09/18,01/21,Hardware Engineer,03/15,11/19
924,Providence School,3.11,PhD,Providence,M,0.0,0,N/A,4,Software Engineer,01/20,11/23,Data Analyst,11/17,11/19,Software Engineer,08/14,05/17
925,Brown University,1.09,PhD,Miami,M,N/A,0,N/A,1,Data Scientist,05/20,12/22,Software Engineer,11/18,09/21,Data Analyst,02/14,11/19
926,Brown University,3.25,Bachelors,Washington,F,0.0,0,1.0,0,Machine Learning Engineer,07/20,06/22,Research Scientist,03/17,09/19,Machine Learning Engineer,06/15,05/18
927,Columbia University,1.21,Bachelors,Chicago,N/A,N/A,1,0.0,4,Quantitative Analyst,02/20,09/22,Data Analyst,11/17,11/21,Software Tester,07/15,03/19
928,University of Rhode Island,3.47,Masters,Chicago,N/A,N/A,0,0.0,2,Machine Learning Engineer,03/19,08/23,Research Scientist,12/16,03/21,Hardware Engineer,02/14,12/17
929,Boston College,3.22,PhD,Los Angeles,N/A,1.0,0,N/A,3,Research Scientist,06/19,10/21,Data Scientist,08/17,02/19,Research Scientist,06/15,09/17
930,Providence State University,1.03,PhD,Providence,F,1.0,0,N/A,2,Hardware Engineer,08/19,09/23,Data Analyst,11/18,12/19,Software Tester,09/15,05/18
931,Providence College,2.7,PhD,Chicago,M,1.0,0,1.0,2,Software Tester,03/20,09/21,Data Scientist,01/17,12/20,Data Analyst,11/15,10/19
932,Northeastern University,3.26,Masters,Washington,M,1.0,0,N/A,1,Machine Learning Engineer,06/19,03/22,Research Scientist,03/18,08/20,Software Engineer,11/16,08/19
933,University of Rhode Island,1.99,Masters,Providence,M,N/A,0,1.0,4,Hardware Engineer,05/19,12/21,Data Scientist,01/17,12/19,Research Scientist,03/15,03/18
934,Boston College,1.38,PhD,Las Vegas,F,0.0,0,1.0,0,Hardware Engineer,09/19,02/21,Software Engineer,12/16,01/21,Machine Learning Engineer,12/14,08/19
935,Northeastern University,2.66,PhD,Philadelphia,M,1.0,0,1.0,3,Software Engineer,02/19,08/23,Research Scientist,02/17,09/21,Software Engineer,05/16,05/19
936,Providence School,2.64,PhD,Miami,M,N/A,0,1.0,0,Hardware Engineer,11/20,05/21,Data Analyst,12/17,01/20,Software Engineer,12/15,04/19
937,Harvard University,1.87,Masters,Washington,N/A,N/A,0,0.0,2,Research Scientist,02/19,07/22,Quantitative Analyst,09/18,10/20,Machine Learning Engineer,04/14,08/18
938,UCLA,3.7,PhD,Philadelphia,N/A,N/A,1,1.0,4,Machine Learning Engineer,10/20,11/21,Data Scientist,12/16,03/20,Data Scientist,10/15,06/17
939,UCLA,2.99,Masters,Los Angeles,M,N/A,0,0.0,2,Hardware Engineer,04/20,12/22,Hardware Engineer,11/17,01/20,Software Tester,06/16,09/17
940,UCSB,2.87,Masters,Boston,M,1.0,1,1.0,2,Quantitative Analyst,07/20,08/22,Machine Learning Engineer,08/17,07/19,Quantitative Analyst,01/16,10/18
941,UCSB,3.35,Masters,Los Angeles,F,1.0,0,N/A,3,Software Tester,04/19,06/22,Software Tester,12/16,06/21,Hardware Engineer,01/15,07/18
942,Harvard University,2.97,PhD,San Francisco,N/A,0.0,1,1.0,4,Software Engineer,06/19,06/21,Machine Learning Engineer,04/17,02/20,Software Engineer,01/16,01/19
943,UCSB,3.17,PhD,Las Vegas,N/A,1.0,0,1.0,0,Machine Learning Engineer,01/19,11/22,Software Engineer,08/17,07/21,Hardware Engineer,01/15,11/18
944,Bryant University,2.45,Bachelors,Miami,N/A,1.0,0,N/A,2,Machine Learning Engineer,06/19,03/23,Software Engineer,01/18,01/20,Machine Learning Engineer,02/14,03/19
945,State Providence College,2.7,Bachelors,New York,N/A,0.0,0,N/A,4,Hardware Engineer,03/20,05/23,Data Scientist,01/18,10/20,Research Scientist,06/15,03/18
946,Providence State University,3.13,PhD,Washington,F,0.0,0,0.0,2,Quantitative Analyst,07/20,10/21,Software Engineer,01/17,01/20,Data Scientist,11/16,07/19
947,MIT,1.52,PhD,Los Angeles,N/A,0.0,0,0.0,3,Quantitative Analyst,11/19,01/21,Research Scientist,10/17,08/20,Machine Learning Engineer,03/14,11/19
948,University of Rhode Island,3.74,Masters,Philadelphia,M,0.0,0,N/A,3,Data Scientist,01/19,04/21,Software Tester,10/18,11/21,Data Scientist,10/15,05/19
949,University of Rhode Island,1.5,PhD,New York,F,0.0,0,1.0,4,Data Scientist,12/18,05/23,Hardware Engineer,01/18,10/19,Research Scientist,09/14,07/19
950,Harvard University,3.67,PhD,Boston,N/A,0.0,0,0.0,1,Data Scientist,04/19,11/21,Software Engineer,11/17,11/19,Quantitative Analyst,01/14,09/19
951,Providence State University,2.39,PhD,Las Vegas,N/A,0.0,0,1.0,2,Data Scientist,01/20,07/22,Machine Learning Engineer,03/17,09/19,Research Scientist,08/16,08/18
952,Harvard University,1.54,Masters,Los Angeles,F,1.0,0,N/A,2,Quantitative Analyst,12/19,11/22,Machine Learning Engineer,01/17,09/20,Software Engineer,09/14,11/17
953,State Providence College,3.94,PhD,Las Vegas,F,1.0,0,1.0,4,Quantitative Analyst,05/20,02/23,Quantitative Analyst,02/17,07/19,Hardware Engineer,02/14,07/17
954,Providence University,1.6,PhD,Miami,F,0.0,0,0.0,3,Data Analyst,03/20,06/21,Research Scientist,02/18,02/20,Data Analyst,12/13,02/19
955,Providence College,2.7,PhD,New York,M,N/A,0,0.0,0,Hardware Engineer,01/20,03/21,Software Tester,07/18,05/20,Data Analyst,04/15,09/17
956,MIT,2.3,Bachelors,Miami,F,N/A,0,1.0,1,Quantitative Analyst,12/18,11/23,Hardware Engineer,06/17,04/19,Research Scientist,01/16,01/19
957,Columbia University,2.3,Bachelors,Philadelphia,M,0.0,1,N/A,4,Software Engineer,03/19,05/21,Software Engineer,01/18,09/20,Data Scientist,11/14,05/18
